CHECK,census_subdivision_id,census_year,clab_id,fn_name_1,fn_name_2,pop_total_registered,pop_on_reserve_crown,pop_off_reserve_crown,notes,census_subdivision_name,census_subdivision_type_code,band_number,band_name
,5951819,2011,,Nee-Tahi-Buhn Band,,144,54,90,,Omineca 1,IRI,729,Nee-Tahi-Buhn
,5933838,2011,,Neskonlith,,650,324,326,,Neskonlith,IRI,690,Neskonlith
,5933851,2011,,Nicomen,,134,66,68,,Nicomen 1,IRI,696,Nicomen
,5933808,2011,,Nooaitch,,220,124,96,,Nooaitch 10,IRI,699,Nooaitch
,5924833,2011,,Nuchatlaht,,158,38,120,,Oclucje 7,IRI,639,Nuchatlaht
,5945802,2011,,Nuxalk Nation,Bella Coola Band,1686,929,757,,Bella Coola 1,IRI,539,Nuxalk Nation
,5939804,2011,,Okanagan Indian Band,,1955,899,1056,,Okanagan (Part) 1,IRI,616,Okanagan
,5947803,2011,,Old Massett Village Council,,2977,754,2223,,Masset 1,IRI,669,Old Massett Village Council
,5933854,2011,,Oregon Jack Creek,,65,20,45,,Paska Island 3,IRI,692,Oregon Jack Creek
,5907802,2011,,Osoyoos Indian Band,,533,389,144,,Osoyoos 1,IRI,596,Osoyoos
,5945803,2011,,Oweekeno Nation,Wuikinuxv,289,91,198,,Katit 1,IRI,541,Oweekeno/Wuikinuxv Nation
,5917815,2011,,Pacheedaht First Nation,,277,124,153,,Gordon River 2,IRI,658,Pacheedaht First Nation
,5917801,2011,,Pauquachin,,402,286,116,,Cole Bay 3,IRI,652,Pauquachin
,5919809,2011,,Penelakut Tribe,,933,586,347,,Kuper Island 7,IRI,650,Penelakut Tribe
,5907803,2011,,Penticton,,1033,615,418,,Penticton 1,IRI,597,Penticton
,5909843,2011,,Peters,,157,47,110,,Peters 1,IRI,586,Peters
,5909844,2011,,Popkum,,,,,,Popkum 1,IRI,585,Popkum
,5959810,2011,,Prophet River First Nation,Denetsaa Tse K'Nai,270,116,154,,Prophet River 4,IRI,544,Prophet River First Nation
,5921806,2011,,Qualicum First Nation,,124,58,66,,Qualicum,IRI,651,Qualicum First Nation
,5943816,2011,,Quatsino,,538,245,293,,Quatsino Subdivision 18,IRI,633,Quatsino
,5951809,2011,,Saik'uz First Nation,,951,456,495,,Stony Creek 1,IRI,615,Saik'uz First Nation
,5909883,2011,,Samahquam,,361,112,249,,Sachteen,IRI,567,Samahquam
,5955801,2011,,Saulteau First Nations,,1033,392,641,,East Moberly Lake 169,IRI,542,Saulteau First Nations
,5909882,2011,,Scowlitz,,251,106,145,,Squawkum Creek 3,IRI,568,Scowlitz
,5909832,2011,,Seabird Island,,947,592,355,,Seabird Island,IRI,581,Seabird Island
,5915801,2011,,Semiahmoo,,90,57,33,,Semiahmoo,IRI,569,Semiahmoo
,5931831,2011,,Seton Lake,,673,356,317,,Slosh 1,IRI,595,Seton Lake
,5933859,2011,,Shackan,,131,78,53,,Shackan 11,IRI,698,Shackan
,5901806,2011,,Shuswap,,267,121,146,,Shuswap,IRI,605,Shuswap
,5909807,2011,,Shxw'ow'hamel First Nation,,186,100,86,,Ohamil 1,IRI,587,Shxw'ow'hamel First Nation
,5909826,2011,,Shxwhá:y Village,Skway,397,99,298,,Skway 5,IRI,570,Shxwhá:y Village
,5933887,2011,,Simpcw First Nation,North Thompson River Indian Band,705,245,460,,North Thompson 1,IRI,691,Simpcw First Nation
,5933849,2011,,Siska,,312,104,208,,Siska Flat,IRI,706,Siska
,5909845,2011,,Skatin Nations,Skookumchuck,420,142,278,,Skookumchuck 4,IRI,562,Skatin Nations
,5909814,2011,,Skawahlook First Nation,,86,12,74,,Skawahlook 1,IRI,582,Skawahlook First Nation
,5933817,2011,,Skeetchestn Indian Band,Deadman's Creek,532,250,282,,Skeetchestn,IRI,687,Skeetchestn
,5947804,2011,,Skidegate,,1614,741,873,,Skidegate 1,IRI,670,Skidegate
,5951823,2011,,Skin Tyee,,179,58,121,,Skins Lake 16A,IRI,726,Skin Tyee
,5951823,2011,,Skin Tyee,,179,58,121,,Skins Lake 16A,IRI,729,Skin Tyee
,5909884,2011,,Skowkale,,251,180,71,,Skowkale,IRI,571,Skowkale
,5933825,2011,,Skuppah,,119,66,53,,Inklyuhkinatko 2,IRI,707,Skuppah
,5909824,2011,,Skwah,,514,288,226,,Skwah 4,IRI,573,Skwah
,5927802,2011,,Sliammon,Tla'amin,1052,592,460,,Sliammon 1,IRI,554,Sliammon
,5921804,2011,,Snuneymuxw First Nation,,1734,704,1030,,Nanaimo Town 1,IRI,648,Snuneymuxw First Nation
,5941805,2011,,Xat'sull,Soda Creek Indian Band,422,177,245,,Deep Creek 2,IRI,716,Soda Creek
,5917812,2011,,Songhees First Nation,,556,378,178,,New Songhees 1A,IRI,656,Songhees First Nation
