census_subdivision_id,broadband_coverage,dsl_cable_coverage,fixed_wireless_coverage,mobility_coverage,satellite_coverage
5931026,0.814000,0.814000,0.000000,0.915000,1.000000
5931032,0.021000,0.000000,0.021000,0.000000,0.071000
5931034,0.021000,0.020000,0.000000,0.027000,0.220000
5931801,0.295000,0.295000,0.000000,0.850000,0.850000
5931802,0.999000,0.999000,0.000000,1.000000,1.000000
5931806,0.999000,0.999000,0.000000,1.000000,1.000000
5931807,0.986000,0.986000,0.000000,1.000000,1.000000
5931808,1.000000,1.000000,0.000000,1.000000,1.000000
5931809,1.000000,1.000000,0.000000,1.000000,1.000000
5931812,0.000000,0.000000,0.000000,1.000000,1.000000
5931813,0.027000,0.027000,0.000000,0.027000,0.992000
5931814,0.839000,0.839000,0.000000,0.965000,1.000000
5931815,0.000000,0.000000,0.000000,0.001000,1.000000
5931816,0.109000,0.109000,0.000000,0.080000,1.000000
5931817,0.000000,0.000000,0.000000,0.000000,1.000000
5931818,0.827000,0.827000,0.000000,0.608000,1.000000
5931819,0.827000,0.827000,0.000000,0.608000,1.000000
5931820,0.000000,0.000000,0.000000,0.000000,1.000000
5931821,0.872000,0.872000,0.000000,0.969000,1.000000
5931822,0.000000,0.000000,0.000000,0.000000,1.000000
5931823,0.216000,0.216000,0.000000,1.000000,1.000000
5931824,0.695000,0.695000,0.000000,0.926000,1.000000
5931826,0.000000,0.000000,0.000000,0.000000,1.000000
5931827,1.000000,1.000000,0.000000,0.056000,1.000000
5931828,0.033000,0.033000,0.000000,1.000000,1.000000
5931829,0.112000,0.044000,0.069000,0.000000,0.979000
5931831,0.000000,0.000000,0.000000,0.000000,1.000000
5931832,0.000000,0.000000,0.000000,0.327000,0.756000
5931833,0.000000,0.000000,0.000000,0.000000,1.000000
5931842,0.827000,0.827000,0.000000,0.608000,1.000000
5931843,0.082000,0.082000,0.000000,1.000000,1.000000
5931844,0.997000,0.997000,0.000000,0.000000,1.000000
5933006,0.986000,0.986000,0.000000,1.000000,1.000000
5933008,0.044000,0.010000,0.033000,0.210000,0.292000
5933012,0.019000,0.019000,0.000000,0.264000,0.364000
5933015,0.330000,0.330000,0.000000,0.949000,1.000000
5933019,0.465000,0.465000,0.000000,0.600000,0.601000
5933024,0.000000,0.000000,0.000000,0.980000,0.980000
5933028,0.899000,0.829000,0.899000,1.000000,1.000000
5933032,0.079000,0.006000,0.079000,0.111000,0.175000
5933035,0.043000,0.043000,0.000000,0.164000,0.449000
5933037,0.035000,0.017000,0.018000,0.141000,0.289000
5933039,0.145000,0.069000,0.115000,0.269000,0.389000
5933042,0.955000,0.873000,0.783000,0.989000,1.000000
5933044,0.253000,0.138000,0.146000,0.517000,0.800000
5933045,0.724000,0.724000,0.000000,0.809000,0.809000
5933054,1.000000,0.840000,0.445000,0.999000,1.000000
5933060,0.204000,0.102000,0.170000,0.713000,0.840000
5933067,0.577000,0.577000,0.000000,0.875000,0.912000
5933068,0.006000,0.005000,0.000000,0.053000,0.108000
