CSD_UID,OFFNAME,OFF_CSDTYPE,POP,PRIV_DWELL,OCC_DWELL,LAND_AREA,REPPOINT_LATITUDE,REPPOINT_LONGITUDE,MET_NMET_CODE
5931817,Fountain  3,IRI,10,3,3,2.9343,50.777557,-121.834759,999
5931818,Fountain 10,IRI,5,2,2,0.9674,50.759032,-121.923395,999
5931819,Fountain 11,IRI,0,2,1,0.2238,50.720603,-121.908708,999
5931820,Fountain 12,IRI,15,4,4,0.2965,50.68654,-121.809598,999
5931821,Lillooet 1,IRI,222,96,87,3.6899,50.682738,-121.944128,998
5931822,Fountain Creek 8,IRI,5,2,2,0.2264,50.706269,-121.835415,999
5931823,McCartney's Flat 4,IRI,32,14,13,1.8119,50.658008,-121.901841,999
5931824,Seton Lake 5,IRI,5,5,4,0.0558,50.666963,-121.988444,999
5931826,Necait 6,IRI,16,8,6,0.3696,50.703546,-122.299646,999
5931827,Nesikep 6,IRI,5,4,3,5.4331,50.549105,-121.787487,999
5931828,Pashilqua 2,IRI,30,13,12,3.1299,50.650255,-121.917249,999
5931829,Pavilion 1,IRI,51,24,23,9.4174,50.884142,-121.845588,999
5931831,Slosh 1,IRI,223,92,87,7.8882,50.728497,-122.200868,998
5931832,Towinock 2,IRI,5,4,3,0.8795,50.583957,-121.853918,999
5931833,Mission 5,IRI,25,13,11,0.2601,50.704178,-122.279864,999
5931842,Fountain  1B,IRI,51,16,15,0.8675,50.739564,-121.878306,999
5931843,Mount Currie,IRI,1306,402,393,22.9447,50.330993,-122.667803,998
5931844,Nequatque,IRI,292,106,100,2.0974,50.547175,-122.477698,999
5933006,Merritt,CY,7113,3115,2903,24.8165,50.108792,-120.775244,998
5933008,Thompson-Nicola M,RDA,1823,1057,791,3854.815,50.197568,-120.342083,997
5933012,Thompson-Nicola N,RDA,749,422,316,2346.8148,49.954167,-120.921208,997
5933015,Lytton,VL,228,137,113,6.5429,50.225104,-121.575096,998
5933019,Ashcroft,VL,1628,803,758,50.8988,50.693973,-121.340663,998
5933024,Cache Creek,VL,1040,512,473,10.2496,50.800085,-121.321371,998
5933028,Clinton,VL,636,367,318,7.8878,51.09291,-121.579205,997
5933032,Thompson-Nicola E (Bonaparte Plateau),RDA,1074,1385,526,6655.0121,51.23917,-121.646753,997
5933035,Logan Lake,DM,2073,1079,964,325.332,50.498356,-121.020967,925
5933037,Thompson-Nicola I (Blue Sky Country),RDA,1256,715,566,5740.8106,50.4772,-121.456662,998
5933039,Thompson-Nicola J (Copper Desert Country),RDA,1560,924,655,3294.5225,50.819339,-120.743725,925
5933042,Kamloops,CY,85678,36949,35022,299.2309,50.687418,-120.344113,925
5933044,Thompson-Nicola P (Rivers and the Peaks),RDA,3620,1876,1525,1549.5957,50.884096,-120.079566,925
5933045,Sun Peaks Mountain,VL,371,1091,176,40.8626,50.883441,-119.891694,925
5933054,Chase,VL,2495,1236,1128,3.7662,50.821764,-119.690899,925
5933060,Thompson-Nicola L,RDA,3049,1469,1299,1917.2172,50.559153,-119.902245,996
5933067,Clearwater,DM,2331,1068,987,55.6833,51.648755,-120.02289,998
5933068,Thompson-Nicola A (Wells Gray Country),RDA,1536,820,706,7099.1923,51.957445,-120.181418,997
5933070,Thompson-Nicola B (Thompson Headwaters),RDA,283,188,140,5136.0045,52.147646,-119.232452,999
5933072,Thompson-Nicola O (Lower North Thompson),RDA,1335,924,605,5392.0516,51.318513,-119.945715,997
5933074,Barriere,DM,1773,876,806,10.7663,51.180223,-120.126896,997
5933801,Coldwater 1,IRI,349,114,112,18.3632,50.032391,-120.859414,998
5933802,Douglas Lake 3,IRI,158,63,63,94.7531,50.182017,-120.28018,998
5933803,Hamilton Creek 2,IRI,0,0,0,0.8087,50.148064,-121.519313,999
5933805,Joeyaska 2,IRI,44,16,16,1.3022,50.090532,-120.759782,999
5933806,Nicola Lake 1,IRI,144,60,58,11.3219,50.206719,-120.481403,997
5933807,Nicola Mameet 1,IRI,603,208,201,46.0295,50.19379,-120.828335,997
5933808,Nooaitch 10,IRI,127,47,43,7.3038,50.190338,-121.057894,998
5933809,Paul's Basin 2,IRI,36,11,9,5.6468,49.983122,-120.954593,999
5933810,Chuchhraischin,IRI,0,0,0,0.1759,50.447243,-121.343507,999
5933811,Zoht 4,IRI,25,14,14,2.1067,50.180864,-120.66554,999
5933812,Bonaparte 3,IRI,138,58,45,7.0607,50.837376,-121.376936,997
5933813,Halhalaeden,IRI,5,2,2,1.6592,50.292721,-121.62604,999
5933814,Canoe Creek 1,IRI,97,27,27,0.7046,51.47001,-122.152339,999
5933817,Skeetchestn,IRI,253,120,102,80.1414,50.829459,-120.969141,997
5933819,High Bar 1,IRI,5,1,1,13.4543,51.107066,-121.995441,999
5933821,Canoe Creek 2,IRI,0,0,0,15.7572,51.43408,-122.025363,999
5933823,Kitzowit 20,IRI,20,7,7,0.1221,50.200967,-121.570975,999
5933824,Skuppah 2A,IRI,0,0,0,0.1866,50.194706,-121.578506,999
5933825,Inklyuhkinatko 2,IRI,41,15,13,0.6886,50.188813,-121.57364,999
5933828,Basque 18,IRI,5,4,2,4.2995,50.628143,-121.325189,999
5933829,Klahkamich 17,IRI,52,18,16,0.1329,50.228189,-121.577164,999
5933830,Klahkowit 5,IRI,0,0,0,1.1428,50.322875,-121.400524,999
5933831,Kleetlekut 22,IRI,5,3,3,1.2064,50.262019,-121.572382,999
5933832,Klickkumcheen 18,IRI,87,31,30,0.3991,50.236657,-121.576598,999
5933833,Inkluckcheen,IRI,199,66,63,4.2505,50.270967,-121.596898,999
5933834,Kumcheen 1,IRI,39,15,15,0.1538,50.422831,-121.317398,999
5933836,Lower Hat Creek 2,IRI,54,18,17,8.3774,50.887315,-121.489562,999
5933837,Peq-Paq 22,IRI,0,0,0,1.932,50.605387,-121.375771,999
5933838,Neskonlith,IRI,237,86,79,24.7725,50.767463,-119.743759,997
5933839,Lytton  4A,IRI,0,0,0,1.7532,50.441637,-121.719379,999
