census_year,census_subdivision_id,reference_point_longitude,reference_point_latitude,reference_point_elevation,elevation_mean,elevation_max,elevation_min
2011,5923805,-125.037826,49.025602,176,96.04523259,312,2
2011,5923806,-126.473244,49.396093,8,16.41967213,32,0
2011,5923807,-125.525727,48.939568,26,23.20432043,36,0
2011,5923808,-126.055176,49.275727,17,27.41082474,97,0
2011,5923809,-124.984462,48.900126,66,57.7995585,362,0
2011,5923810,-125.379455,48.995903,26,20.18195266,54,0
2011,5923813,-125.909915,49.176046,34,29.65974026,78,5
2011,5923814,-125.105881,48.836723,16,25.7699115,63,0
2011,5923816,-124.87294,49.274518,51,36.343405,88,4
2011,5923822,-124.895125,49.294565,41,33.99074074,67,10
2011,5923823,-125.781418,49.07159,13,14.40764331,29,4
2011,5923824,-126.271532,49.365191,38,35.39097744,61,0
2011,5923825,-125.897473,49.130412,12,11.59051724,14,6
2011,5924025,-126.080745,49.738805,87,101.3520643,625,0
2011,5924029,-126.846261,49.982875,2,24.37946232,234,0
2011,5924030,-126.663939,49.917436,7,41.43927977,499,0
2011,5924034,-125.29254,50.003616,90,87.40755003,402,0
2011,5924039,-125.955728,50.377353,12,26.86828616,343,0
2011,5924042,-125.552855,49.864271,381,751.0940512,2195,0
2011,5924048,-126.649674,49.915563,14,330.7891546,2154,-1
2011,5924052,-124.985181,50.061441,86,34.23424732,447,0
2011,5924054,-124.840659,50.594806,8,966.8305239,3944,0
2011,5924803,-126.119815,49.68233,13,10.31203008,32,0
2011,5924804,-125.248218,50.036224,4,3.132546374,11,0
2011,5924805,-126.977824,49.874732,32,33.85676393,110,0
2011,5924806,-127.376196,50.029895,5,20.67727273,52,0
2011,5924812,-125.289405,50.020496,70,66.347359,86,14
2011,5924813,-127.402064,50.011409,41,18.76086957,44,0
2011,5924814,-126.620364,49.59025,4,21.85688406,59,0
2011,5924817,-125.18741,50.009472,74,59.42226439,91,0
2011,5924818,-124.92066,50.14478,31,31.27636364,74,0
2011,5924820,-124.9366,50.128891,101,92.90569183,186,0
2011,5924833,-126.940018,49.989138,14,26.54545455,84,0
2011,5924835,-126.073778,49.811604,138,156.468347,260,83
2011,5924836,-126.861841,49.983714,57,65.99184783,177,0
2011,5924840,-125.245361,49.951534,76,71.16759156,78,62
2011,5926005,-124.915082,49.694742,51,28.15751081,76,0
2011,5926010,-124.976444,49.696767,12,42.5695407,96,0
2011,5926014,-125.051683,49.632869,171,187.9000598,662,86
2011,5926021,-124.813765,49.547541,97,233.7728036,1530,0
2011,5926022,-124.896495,49.728191,2,9.364101716,100,0
2011,5926024,-125.208479,49.722558,729,552.5334739,2089,0
2011,5926801,-124.956941,49.680314,7,26.4217759,68,0
2011,5926802,-125.003069,49.698085,7,11.73551989,29,1
2011,5927008,-124.528462,49.860295,100,70.04423451,248,0
2011,5927010,-124.257517,50.371569,1453,950.3927711,3011,0
2011,5927012,-124.498029,49.871864,176,224.7099096,1085,0
2011,5927016,-124.307149,49.813045,154,443.493803,1896,0
2011,5927018,-124.465914,49.665413,48,83.69199511,883,0
2011,5927020,-124.26313,49.459454,17,14.3145249,333,0
2011,5927802,-124.614105,49.906772,63,71.94956629,261,0
2011,5927806,-124.333927,49.774565,38,29.9035533,54,0
2011,5929005,-123.517295,49.400739,113,80.02523209,162,0
2011,5929011,-123.794408,49.481566,136,72.19624564,303,0
2011,5929018,-123.725319,49.914434,1199,700.2806747,2547,0
2011,5929022,-123.51553,49.650896,1020,643.7483923,2589,0
2011,5929024,-123.661342,49.427895,21,277.3817628,1661,0
2011,5929026,-123.53835,49.385555,73,156.1372096,1176,0
2011,5929028,-123.419609,49.512265,677,379.477733,1734,0
2011,5929801,-123.500291,49.409145,53,35.20454545,78,0
2011,5929803,-123.74378,50.084859,114,57.76406646,358,0
2011,5931006,-123.136479,49.74276,17,149.3727127,931,0
2011,5931012,-122.806678,50.302313,351,376.463026,1173,197
2011,5931017,-123.200637,50.374487,2211,1493.403142,2936,192
2011,5931020,-122.993814,50.092243,680,1122.933855,2446,404
2011,5931021,-123.148853,49.966142,362,1215.140688,2670,0
2011,5931026,-121.903413,50.679962,420,350.9877731,936,193
2011,5931032,-122.883191,50.879005,902,1761.968166,2935,389
2011,5931034,-122.198813,50.742839,883,1546.994517,2919,184
2011,5931801,-123.196313,49.803169,20,72.25226386,533,13
2011,5931802,-123.140642,49.742044,14,12.11304348,17,7
2011,5931806,-123.141864,49.754463,21,18.8627451,22,11
2011,5931807,-123.148722,49.690761,10,11.71980676,27,5
2011,5931808,-123.161545,49.77042,23,24.89005236,35,17
2011,5931809,-123.161922,49.725878,11,11.46153846,13,11
2011,5931812,-122.637842,50.308865,205,204.8485899,214,194
2011,5931813,-122.021053,50.783175,834,503.9891907,1236,203
2011,5931814,-121.938396,50.673635,216,249.1144852,400,193
2011,5931815,-121.801281,50.63468,931,932.2408572,1138,879
2011,5931816,-121.865053,50.73492,525,484.8403628,705,355
2011,5931817,-121.834759,50.777557,526,468.9655685,840,226
2011,5931818,-121.923395,50.759032,393,353.8906856,524,205
2011,5931819,-121.908708,50.720603,421,412.8764045,599,291
2011,5931820,-121.809598,50.68654,895,894.2968421,981,866
2011,5931821,-121.944128,50.682738,293,500.1408593,1054,203
2011,5931822,-121.835415,50.706269,742,751.0451977,822,732
2011,5931823,-121.901841,50.658008,288,263.8753883,324,193
2011,5931824,-121.988444,50.666963,266,265.6304348,291,244
2011,5931826,-122.299646,50.703546,268,286.6870861,323,256
2011,5931827,-121.787487,50.549105,288,377.1463716,962,181
2011,5931828,-121.917249,50.650255,517,430.196368,904,193
2011,5931829,-121.845588,50.884142,800,717.9461699,1190,237
2011,5931831,-122.200868,50.728497,278,389.8923721,857,240
2011,5931832,-121.853918,50.583957,385,353.6305278,703,228
2011,5931833,-122.279864,50.704178,260,263.7186761,305,246
