census_year,census_subdivision_id,arabic,cantonese,croatian,czech,dutch,english,english_and_french,finnish,french,german,greek,hindi,hungarian,ilocano,italian,japanese,korean,malay,mandarin,other,panjabi,persian,polish,portuguese,romanian,russian,serbian,spanish,tagalog,tamil,ukrainian,vietnamese
2011,5909016,0,0,0,0,0,695,0,0,0,0,0,0,0,0,0,0,10,0,0,15,5,0,0,0,5,0,0,0,0,0,0,0
2011,5909020,20,35,10,10,210,74370,80,10,215,365,20,55,20,5,15,30,300,0,130,300,315,65,50,5,95,35,15,255,75,0,15,105
2011,5909027,0,0,0,0,5,1395,5,0,0,10,0,0,0,0,0,5,15,0,5,15,5,5,0,0,0,0,0,0,0,0,5,0
2011,5909032,0,0,5,0,15,4755,5,0,15,35,0,0,5,0,0,5,10,0,10,15,20,5,0,0,0,0,0,5,0,0,0,5
2011,5909034,0,0,0,0,5,1320,0,0,0,10,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2011,5909036,0,5,0,0,5,3190,5,0,5,10,0,0,0,0,0,0,5,0,0,20,0,15,5,0,0,5,0,0,0,0,0,0
2011,5909048,0,0,0,0,0,870,5,0,0,0,0,0,0,0,0,0,5,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0
2011,5909052,145,170,10,20,130,105060,165,20,235,980,20,210,65,10,30,80,1120,5,285,1115,20205,105,105,40,140,150,10,500,215,5,35,455
2011,5909056,10,10,5,15,15,33310,35,10,75,55,0,30,20,0,10,10,95,5,10,80,1580,10,40,10,60,45,5,100,10,5,5,35
2011,5909060,0,0,0,5,5,1255,0,5,0,5,0,0,5,0,5,0,0,0,0,0,20,0,0,0,0,0,5,0,0,0,0,5
2011,5909062,0,0,0,0,5,1610,5,0,0,5,0,0,5,0,0,5,0,0,0,0,110,0,0,0,0,0,0,10,0,0,0,0
2011,5909804,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909805,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909806,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909807,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909808,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909809,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909810,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909812,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909814,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909815,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909816,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909817,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909818,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909819,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909821,0,0,0,0,5,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909824,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909825,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
2011,5909826,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909827,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2011,5909830,0,0,0,0,0,1435,0,5,5,10,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0
