CENSUS_SUBDIVISION_ID,LANGUAGE,COUNT_SPOKEN_AT_HOME
5901043,"Tagalog (Pilipino, Filipino)",0
5901043,Tamil,0
5901043,Ukrainian,0
5901043,Vietnamese,0
5901046,Arabic,0
5901046,Cantonese,0
5901046,Croatian,0
5901046,Czech,0
5901046,Dutch,0
5901046,English,2595
5901046,English and French,0
5901046,Finnish,0
5901046,French,0
5901046,German,10
5901046,Greek,0
5901046,Hindi,0
5901046,Hungarian,0
5901046,Ilocano,0
5901046,Italian,0
5901046,Japanese,0
5901046,Korean,0
5901046,Malay,0
5901046,Mandarin,0
5901046,Other non-official language,5
5901046,Panjabi (Punjabi),0
5901046,Persian (Farsi),0
5901046,Polish,5
5901046,Portuguese,0
5901046,Romanian,0
5901046,Russian,5
5901046,Serbian,0
5901046,Spanish,5
5901046,"Tagalog (Pilipino, Filipino)",0
5901046,Tamil,0
5901046,Ukrainian,0
5901046,Vietnamese,0
5901048,Arabic,0
5901048,Cantonese,0
5901048,Croatian,0
5901048,Czech,5
5901048,Dutch,5
5901048,English,1390
5901048,English and French,0
5901048,Finnish,0
5901048,French,5
5901048,German,10
5901048,Greek,0
5901048,Hindi,0
5901048,Hungarian,0
5901048,Ilocano,0
5901048,Italian,0
5901048,Japanese,0
5901048,Korean,0
5901048,Malay,0
5901048,Mandarin,0
5901048,Other non-official language,0
5901048,Panjabi (Punjabi),0
5901048,Persian (Farsi),0
5901048,Polish,0
5901048,Portuguese,0
5901048,Romanian,0
5901048,Russian,0
5901048,Serbian,0
5901048,Spanish,0
5901048,"Tagalog (Pilipino, Filipino)",0
5901048,Tamil,0
5901048,Ukrainian,0
5901048,Vietnamese,0
5901801,Arabic,0
5901801,Cantonese,0
5901801,Croatian,0
5901801,Czech,0
5901801,Dutch,0
5901801,English,60
5901801,English and French,0
5901801,Finnish,0
5901801,French,0
5901801,German,0
5901801,Greek,0
5901801,Hindi,0
5901801,Hungarian,0
5901801,Ilocano,0
5901801,Italian,0
5901801,Japanese,0
5901801,Korean,0
5901801,Malay,0
5901801,Mandarin,0
5901801,Other non-official language,0
5901801,Panjabi (Punjabi),0
5901801,Persian (Farsi),0
5901801,Polish,0
5901801,Portuguese,0
5901801,Romanian,0
5901801,Russian,0
5901801,Serbian,0
5901801,Spanish,0
5901801,"Tagalog (Pilipino, Filipino)",0
5901801,Tamil,0
5901801,Ukrainian,0
5901801,Vietnamese,0
5901802,Arabic,(null)
5901802,Cantonese,(null)
5901802,Croatian,(null)
5901802,Czech,(null)
5901802,Dutch,(null)
5901802,English,(null)
5901802,English and French,(null)
5901802,Finnish,(null)
5901802,French,(null)
5901802,German,(null)
5901802,Greek,(null)
5901802,Hindi,(null)
5901802,Hungarian,(null)
5901802,Ilocano,(null)
5901802,Italian,(null)
5901802,Japanese,(null)
5901802,Korean,(null)
5901802,Malay,(null)
5901802,Mandarin,(null)
5901802,Other non-official language,(null)
5901802,Panjabi (Punjabi),(null)
5901802,Persian (Farsi),(null)
5901802,Polish,(null)
5901802,Portuguese,(null)
5901802,Romanian,(null)
5901802,Russian,(null)
5901802,Serbian,(null)
5901802,Spanish,(null)
5901802,"Tagalog (Pilipino, Filipino)",(null)
5901802,Tamil,(null)
5901802,Ukrainian,(null)
5901802,Vietnamese,(null)
5901803,Arabic,0
5901803,Cantonese,0
5901803,Croatian,0
5901803,Czech,0
5901803,Dutch,0
5901803,English,100
5901803,English and French,0
5901803,Finnish,0
5901803,French,0
5901803,German,0
5901803,Greek,0
5901803,Hindi,0
5901803,Hungarian,0
5901803,Ilocano,0
5901803,Italian,0
5901803,Japanese,0
5901803,Korean,0
5901803,Malay,0
5901803,Mandarin,0
5901803,Other non-official language,0
5901803,Panjabi (Punjabi),0
5901803,Persian (Farsi),0
5901803,Polish,0
5901803,Portuguese,0
5901803,Romanian,0
5901803,Russian,0
5901803,Serbian,0
5901803,Spanish,0
5901803,"Tagalog (Pilipino, Filipino)",0
5901803,Tamil,0
5901803,Ukrainian,0
5901803,Vietnamese,0
5901804,Arabic,0
5901804,Cantonese,0
5901804,Croatian,0
5901804,Czech,0
5901804,Dutch,0
5901804,English,125
5901804,English and French,0
5901804,Finnish,0
5901804,French,0
5901804,German,0
5901804,Greek,0
5901804,Hindi,0
5901804,Hungarian,0
5901804,Ilocano,0
5901804,Italian,0
5901804,Japanese,0
5901804,Korean,0
5901804,Malay,0
5901804,Mandarin,0
5901804,Other non-official language,5
5901804,Panjabi (Punjabi),0
5901804,Persian (Farsi),0
5901804,Polish,0
5901804,Portuguese,0
5901804,Romanian,0
5901804,Russian,0
5901804,Serbian,0
5901804,Spanish,0
5901804,"Tagalog (Pilipino, Filipino)",0
5901804,Tamil,0
5901804,Ukrainian,0
5901804,Vietnamese,0
5901805,Arabic,(null)
5901805,Cantonese,(null)
5901805,Croatian,(null)
5901805,Czech,(null)
5901805,Dutch,(null)
5901805,English,(null)
5901805,English and French,(null)
5901805,Finnish,(null)
5901805,French,(null)
5901805,German,(null)
5901805,Greek,(null)
5901805,Hindi,(null)
5901805,Hungarian,(null)
5901805,Ilocano,(null)
5901805,Italian,(null)
5901805,Japanese,(null)
5901805,Korean,(null)
5901805,Malay,(null)
5901805,Mandarin,(null)
5901805,Other non-official language,(null)
5901805,Panjabi (Punjabi),(null)
5901805,Persian (Farsi),(null)
5901805,Polish,(null)
5901805,Portuguese,(null)
5901805,Romanian,(null)
5901805,Russian,(null)
5901805,Serbian,(null)
5901805,Spanish,(null)
5901805,"Tagalog (Pilipino, Filipino)",(null)
5901805,Tamil,(null)
5901805,Ukrainian,(null)
5901805,Vietnamese,(null)
5901806,Arabic,(null)
5901806,Cantonese,(null)
5901806,Croatian,(null)
5901806,Czech,(null)
5901806,Dutch,(null)
5901806,English,(null)
5901806,English and French,(null)
5901806,Finnish,(null)
5901806,French,(null)
5901806,German,(null)
5901806,Greek,(null)
5901806,Hindi,(null)
5901806,Hungarian,(null)
5901806,Ilocano,(null)
5901806,Italian,(null)
5901806,Japanese,(null)
5901806,Korean,(null)
5901806,Malay,(null)
5901806,Mandarin,(null)
5901806,Other non-official language,(null)
5901806,Panjabi (Punjabi),(null)
5901806,Persian (Farsi),(null)
5901806,Polish,(null)
5901806,Portuguese,(null)
5901806,Romanian,(null)
5901806,Russian,(null)
5901806,Serbian,(null)
5901806,Spanish,(null)
5901806,"Tagalog (Pilipino, Filipino)",(null)
5901806,Tamil,(null)
5901806,Ukrainian,(null)
5901806,Vietnamese,(null)
5903004,Arabic,0
5903004,Cantonese,0
5903004,Croatian,0
5903004,Czech,5
5903004,Dutch,0
5903004,English,5050
5903004,English and French,0
5903004,Finnish,0
5903004,French,45
5903004,German,25
5903004,Greek,0
5903004,Hindi,0
5903004,Hungarian,5
5903004,Ilocano,0
5903004,Italian,5
5903004,Japanese,0
5903004,Korean,5
5903004,Malay,0
5903004,Mandarin,5
5903004,Other non-official language,10
5903004,Panjabi (Punjabi),0
5903004,Persian (Farsi),0
5903004,Polish,5
5903004,Portuguese,0
5903004,Romanian,0
5903004,Russian,0
5903004,Serbian,0
5903004,Spanish,0
5903004,"Tagalog (Pilipino, Filipino)",5
5903004,Tamil,0
5903004,Ukrainian,0
5903004,Vietnamese,0
5903010,Arabic,0
5903010,Cantonese,0
5903010,Croatian,0
5903010,Czech,5
5903010,Dutch,0
5903010,English,1980
5903010,English and French,5
5903010,Finnish,0
5903010,French,20
5903010,German,10
5903010,Greek,0
5903010,Hindi,0
5903010,Hungarian,0
5903010,Ilocano,0
5903010,Italian,0
5903010,Japanese,0
5903010,Korean,0
5903010,Malay,0
5903010,Mandarin,0
5903010,Other non-official language,5
5903010,Panjabi (Punjabi),0
5903010,Persian (Farsi),0
5903010,Polish,0
5903010,Portuguese,0
5903010,Romanian,0
5903010,Russian,5
5903010,Serbian,0
5903010,Spanish,0
5903010,"Tagalog (Pilipino, Filipino)",0
5903010,Tamil,0
5903010,Ukrainian,0
5903010,Vietnamese,0
5903011,Arabic,0
5903011,Cantonese,0
5903011,Croatian,0
5903011,Czech,0
5903011,Dutch,5
5903011,English,1120
5903011,English and French,5
5903011,Finnish,0
5903011,French,5
5903011,German,0
5903011,Greek,0
5903011,Hindi,0
5903011,Hungarian,0
5903011,Ilocano,0
5903011,Italian,5
5903011,Japanese,0
5903011,Korean,0
5903011,Malay,0
5903011,Mandarin,0
5903011,Other non-official language,0
5903011,Panjabi (Punjabi),5
5903011,Persian (Farsi),0
5903011,Polish,0
5903011,Portuguese,0
5903011,Romanian,0
5903011,Russian,0
5903011,Serbian,0
5903011,Spanish,0
5903011,"Tagalog (Pilipino, Filipino)",0
5903011,Tamil,0
5903011,Ukrainian,0
5903011,Vietnamese,0
5903013,Arabic,0
5903013,Cantonese,0
5903013,Croatian,0
5903013,Czech,5
5903013,Dutch,0
5903013,English,4375
5903013,English and French,0
5903013,Finnish,0
5903013,French,30
5903013,German,25
5903013,Greek,0
5903013,Hindi,0
5903013,Hungarian,0
5903013,Ilocano,0
5903013,Italian,0
5903013,Japanese,0
5903013,Korean,0
5903013,Malay,0
5903013,Mandarin,0
5903013,Other non-official language,10
5903013,Panjabi (Punjabi),0
5903013,Persian (Farsi),0
5903013,Polish,10
5903013,Portuguese,0
5903013,Romanian,0
5903013,Russian,0
5903013,Serbian,0
5903013,Spanish,0
5903013,"Tagalog (Pilipino, Filipino)",0
5903013,Tamil,0
5903013,Ukrainian,0
5903013,Vietnamese,0
5903015,Arabic,0
5903015,Cantonese,5
5903015,Croatian,0
5903015,Czech,5
5903015,Dutch,15
5903015,English,9740
5903015,English and French,30
5903015,Finnish,0
5903015,French,75
5903015,German,10
5903015,Greek,0
5903015,Hindi,0
5903015,Hungarian,5
5903015,Ilocano,0
5903015,Italian,40
5903015,Japanese,10
5903015,Korean,10
5903015,Malay,0
5903015,Mandarin,20
5903015,Other non-official language,25
5903015,Panjabi (Punjabi),0
5903015,Persian (Farsi),0
5903015,Polish,0
5903015,Portuguese,0
5903015,Romanian,0
5903015,Russian,10
5903015,Serbian,0
5903015,Spanish,5
5903015,"Tagalog (Pilipino, Filipino)",5
5903015,Tamil,0
5903015,Ukrainian,5
5903015,Vietnamese,0
5903017,Arabic,0
5903017,Cantonese,0
5903017,Croatian,0
5903017,Czech,0
5903017,Dutch,0
5903017,English,1335
5903017,English and French,0
5903017,Finnish,0
5903017,French,10
5903017,German,5
5903017,Greek,0
5903017,Hindi,0
5903017,Hungarian,0
5903017,Ilocano,0
5903017,Italian,0
5903017,Japanese,0
5903017,Korean,0
5903017,Malay,0
5903017,Mandarin,0
5903017,Other non-official language,5
5903017,Panjabi (Punjabi),0
5903017,Persian (Farsi),0
5903017,Polish,0
5903017,Portuguese,0
5903017,Romanian,5
5903017,Russian,0
5903017,Serbian,0
5903017,Spanish,0
5903017,"Tagalog (Pilipino, Filipino)",0
5903017,Tamil,0
5903017,Ukrainian,0
5903017,Vietnamese,0
5903019,Arabic,0
5903019,Cantonese,0
5903019,Croatian,0
5903019,Czech,0
5903019,Dutch,0
5903019,English,290
5903019,English and French,0
5903019,Finnish,0
5903019,French,5
5903019,German,0
5903019,Greek,0
5903019,Hindi,0
5903019,Hungarian,0
5903019,Ilocano,0
5903019,Italian,0
5903019,Japanese,0
5903019,Korean,0
5903019,Malay,0
5903019,Mandarin,0
5903019,Other non-official language,5
5903019,Panjabi (Punjabi),0
5903019,Persian (Farsi),0
5903019,Polish,0
5903019,Portuguese,0
5903019,Romanian,0
5903019,Russian,0
5903019,Serbian,0
5903019,Spanish,0
5903019,"Tagalog (Pilipino, Filipino)",0
5903019,Tamil,0
5903019,Ukrainian,0
5903019,Vietnamese,0
5903023,Arabic,0
5903023,Cantonese,0
5903023,Croatian,0
5903023,Czech,0
5903023,Dutch,0
5903023,English,980
5903023,English and French,0
5903023,Finnish,0
5903023,French,5
5903023,German,5
5903023,Greek,0
5903023,Hindi,0
5903023,Hungarian,0
5903023,Ilocano,0
5903023,Italian,0
5903023,Japanese,0
5903023,Korean,0
5903023,Malay,0
5903023,Mandarin,0
5903023,Other non-official language,5
5903023,Panjabi (Punjabi),0
5903023,Persian (Farsi),0
5903023,Polish,0
5903023,Portuguese,0
5903023,Romanian,0
5903023,Russian,0
5903023,Serbian,0
5903023,Spanish,10
5903023,"Tagalog (Pilipino, Filipino)",0
5903023,Tamil,0
5903023,Ukrainian,0
5903023,Vietnamese,0
5903027,Arabic,0
5903027,Cantonese,0
5903027,Croatian,0
5903027,Czech,0
5903027,Dutch,0
5903027,English,195
5903027,English and French,0
5903027,Finnish,0
5903027,French,0
5903027,German,0
5903027,Greek,0
5903027,Hindi,0
5903027,Hungarian,0
5903027,Ilocano,0
5903027,Italian,0
5903027,Japanese,0
5903027,Korean,0
5903027,Malay,0
5903027,Mandarin,0
5903027,Other non-official language,0
5903027,Panjabi (Punjabi),0
5903027,Persian (Farsi),0
5903027,Polish,0
5903027,Portuguese,0
5903027,Romanian,0
5903027,Russian,0
5903027,Serbian,0
5903027,Spanish,0
5903027,"Tagalog (Pilipino, Filipino)",0
5903027,Tamil,0
5903027,Ukrainian,0
5903027,Vietnamese,0
5903032,Arabic,0
5903032,Cantonese,0
5903032,Croatian,0
5903032,Czech,0
5903032,Dutch,0
5903032,English,470
5903032,English and French,0
5903032,Finnish,0
5903032,French,0
5903032,German,0
5903032,Greek,0
5903032,Hindi,0
5903032,Hungarian,0
5903032,Ilocano,0
5903032,Italian,0
5903032,Japanese,5
5903032,Korean,0
5903032,Malay,0
5903032,Mandarin,0
5903032,Other non-official language,0
5903032,Panjabi (Punjabi),0
5903032,Persian (Farsi),0
5903032,Polish,0
5903032,Portuguese,0
5903032,Romanian,0
5903032,Russian,0
5903032,Serbian,0
5903032,Spanish,0
5903032,"Tagalog (Pilipino, Filipino)",0
5903032,Tamil,0
5903032,Ukrainian,0
5903032,Vietnamese,0
5903039,Arabic,0
5903039,Cantonese,0
5903039,Croatian,0
5903039,Czech,0
5903039,Dutch,5
5903039,English,1365
5903039,English and French,0
5903039,Finnish,0
5903039,French,25
5903039,German,15
5903039,Greek,0
5903039,Hindi,0
5903039,Hungarian,0
5903039,Ilocano,0
5903039,Italian,0
5903039,Japanese,0
5903039,Korean,0
5903039,Malay,0
5903039,Mandarin,0
5903039,Other non-official language,5
5903039,Panjabi (Punjabi),0
5903039,Persian (Farsi),0
5903039,Polish,0
5903039,Portuguese,0
5903039,Romanian,0
5903039,Russian,0
5903039,Serbian,0
5903039,Spanish,5
5903039,"Tagalog (Pilipino, Filipino)",0
5903039,Tamil,0
5903039,Ukrainian,0
5903039,Vietnamese,0
5903041,Arabic,0
5903041,Cantonese,0
5903041,Croatian,0
5903041,Czech,0
5903041,Dutch,5
5903041,English,3725
5903041,English and French,0
5903041,Finnish,0
5903041,French,20
5903041,German,20
5903041,Greek,0
5903041,Hindi,0
5903041,Hungarian,0
5903041,Ilocano,0
5903041,Italian,0
5903041,Japanese,0
5903041,Korean,0
5903041,Malay,0
5903041,Mandarin,0
5903041,Other non-official language,0
5903041,Panjabi (Punjabi),0
5903041,Persian (Farsi),0
5903041,Polish,0
5903041,Portuguese,0
5903041,Romanian,0
5903041,Russian,5
5903041,Serbian,0
5903041,Spanish,0
5903041,"Tagalog (Pilipino, Filipino)",0
5903041,Tamil,0
5903041,Ukrainian,0
5903041,Vietnamese,0
5903043,Arabic,0
5903043,Cantonese,0
5903043,Croatian,0
5903043,Czech,0
5903043,Dutch,10
5903043,English,3885
5903043,English and French,5
5903043,Finnish,0
5903043,French,20
5903043,German,15
5903043,Greek,0
5903043,Hindi,0
5903043,Hungarian,0
5903043,Ilocano,0
5903043,Italian,5
5903043,Japanese,0
5903043,Korean,0
5903043,Malay,0
5903043,Mandarin,0
5903043,Other non-official language,15
5903043,Panjabi (Punjabi),0
5903043,Persian (Farsi),0
5903043,Polish,5
5903043,Portuguese,0
5903043,Romanian,0
5903043,Russian,5
5903043,Serbian,0
5903043,Spanish,0
5903043,"Tagalog (Pilipino, Filipino)",0
5903043,Tamil,0
5903043,Ukrainian,0
5903043,Vietnamese,0
5903045,Arabic,0
5903045,Cantonese,5
5903045,Croatian,0
5903045,Czech,5
5903045,Dutch,0
5903045,English,7480
5903045,English and French,0
5903045,Finnish,0
5903045,French,25
5903045,German,10
5903045,Greek,0
5903045,Hindi,0
5903045,Hungarian,5
5903045,Ilocano,0
5903045,Italian,10
5903045,Japanese,0
5903045,Korean,0
5903045,Malay,0
5903045,Mandarin,10
5903045,Other non-official language,20
5903045,Panjabi (Punjabi),15
5903045,Persian (Farsi),0
5903045,Polish,0
5903045,Portuguese,75
5903045,Romanian,0
5903045,Russian,30
5903045,Serbian,0
5903045,Spanish,5
5903045,"Tagalog (Pilipino, Filipino)",0
5903045,Tamil,0
5903045,Ukrainian,0
5903045,Vietnamese,0
5903047,Arabic,0
5903047,Cantonese,0
5903047,Croatian,0
5903047,Czech,0
5903047,Dutch,0
5903047,English,1580
5903047,English and French,0
5903047,Finnish,0
5903047,French,5
5903047,German,0
5903047,Greek,0
5903047,Hindi,0
5903047,Hungarian,0
5903047,Ilocano,0
5903047,Italian,0
5903047,Japanese,0
5903047,Korean,0
5903047,Malay,0
5903047,Mandarin,0
5903047,Other non-official language,5
5903047,Panjabi (Punjabi),0
5903047,Persian (Farsi),0
5903047,Polish,0
5903047,Portuguese,0
5903047,Romanian,0
5903047,Russian,0
5903047,Serbian,0
5903047,Spanish,0
5903047,"Tagalog (Pilipino, Filipino)",0
5903047,Tamil,0
5903047,Ukrainian,0
5903047,Vietnamese,0
5903050,Arabic,0
5903050,Cantonese,0
5903050,Croatian,0
5903050,Czech,0
5903050,Dutch,0
5903050,English,1520
5903050,English and French,0
5903050,Finnish,0
5903050,French,0
5903050,German,5
5903050,Greek,0
5903050,Hindi,0
5903050,Hungarian,0
5903050,Ilocano,0
5903050,Italian,0
5903050,Japanese,0
5903050,Korean,0
5903050,Malay,0
5903050,Mandarin,5
5903050,Other non-official language,0
5903050,Panjabi (Punjabi),0
5903050,Persian (Farsi),0
5903050,Polish,0
5903050,Portuguese,0
5903050,Romanian,0
5903050,Russian,0
5903050,Serbian,0
5903050,Spanish,0
5903050,"Tagalog (Pilipino, Filipino)",0
5903050,Tamil,0
5903050,Ukrainian,0
5903050,Vietnamese,0
5903052,Arabic,0
5903052,Cantonese,0
5903052,Croatian,0
5903052,Czech,0
5903052,Dutch,5
5903052,English,4110
5903052,English and French,0
5903052,Finnish,0
5903052,French,25
5903052,German,15
5903052,Greek,0
5903052,Hindi,0
5903052,Hungarian,0
5903052,Ilocano,0
5903052,Italian,0
5903052,Japanese,0
5903052,Korean,5
5903052,Malay,0
5903052,Mandarin,0
5903052,Other non-official language,5
5903052,Panjabi (Punjabi),5
5903052,Persian (Farsi),0
5903052,Polish,0
5903052,Portuguese,0
5903052,Romanian,0
5903052,Russian,100
