census_year,census_subdivision_id,tmax01,tmax07,tmin01,tmin07,tave01,tave07,map,pas,mar
2011,5951009,-4.9,22.1,-13.6,7.8,-9.2,14.9,503,179,324
2011,5951013,-5.5,21.1,-13.4,7.6,-9.5,14.4,574,244,330
2011,5951015,-5.5,19.2,-12.9,6.9,-9.2,13,629,299,330
2011,5951017,-4.5,19.5,-11.5,6.5,-8,13,589,243,346
2011,5951019,-5.1,21.3,-13.2,7.7,-9.1,14.5,559,217,342
2011,5951022,-4.2,20.8,-12.7,7,-8.5,13.9,534,218,316
2011,5951028,-4.3,19.8,-11.9,6.7,-8.1,13.3,603,271,332
2011,5951031,-4.2,20.2,-12.2,7.1,-8.2,13.6,494,199,295
2011,5951032,-4.7,20.3,-12.2,7,-8.5,13.7,567,226,341
2011,5951034,-4.2,22.1,-12.5,7.1,-8.3,14.6,407,136,271
2011,5951038,-3.7,21.5,-11.6,7.4,-7.6,14.4,464,152,312
2011,5951043,-3.7,21.5,-11.2,7.8,-7.5,14.6,501,155,346
2011,5951051,-3.7,20.8,-11.4,7.3,-7.6,14.1,527,173,354
2011,5951053,-4.1,18.9,-11.7,5.9,-7.9,12.4,691,319,372
2011,5951801,-5.1,21.3,-13.4,8,-9.3,14.6,511,199,312
2011,5951802,-5,22.2,-13.9,7.9,-9.4,15,509,182,327
2011,5951803,-5,21.9,-13.6,8,-9.3,14.9,540,215,325
2011,5951804,-4.9,22,-13.6,8.1,-9.3,15,520,202,318
2011,5951805,-5.2,21.9,-13.9,8,-9.6,15,526,209,317
2011,5951806,-5,22.1,-13.7,7.8,-9.3,14.9,505,180,325
2011,5951807,-5,22.1,-13.5,7.7,-9.3,14.9,505,181,324
2011,5951809,-4.7,22,-13.8,7.7,-9.3,14.9,527,200,327
2011,5951810,-5.3,21.7,-13.7,8.4,-9.5,15.1,524,207,317
2011,5951811,-4.9,21.2,-12.7,7.3,-8.8,14.2,568,217,351
2011,5951813,-4.7,21.9,-13.9,7.7,-9.3,14.8,529,199,330
2011,5951814,-5.2,20.9,-13.3,8.2,-9.3,14.6,517,210,307
2011,5951815,-4.4,20.9,-12.9,6.9,-8.6,13.9,528,214,314
2011,5951818,-4.1,20.5,-12.1,6.9,-8.1,13.7,481,182,299
2011,5951819,-4,19.8,-11.8,6.7,-7.9,13.2,516,213,303
2011,5951820,-4.5,21.2,-13.2,6.8,-8.9,14,515,207,308
2011,5951821,-4.6,20.6,-12.8,6.8,-8.7,13.7,517,214,303
2011,5951822,-4.3,21,-12.7,6.8,-8.5,13.9,466,173,293
2011,5951823,-4,20.3,-12,6.8,-8,13.5,496,195,301
2011,5951824,-4,20.2,-12,6.8,-8,13.5,509,201,308
2011,5951825,-4.4,20.7,-12.3,6.6,-8.3,13.6,489,187,302
2011,5951826,-4.2,20.8,-12.5,7,-8.4,13.9,484,183,301
2011,5951827,-4.3,20.8,-12.8,6.9,-8.5,13.9,532,217,315
2011,5951828,-5.5,20,-12.9,6.7,-9.2,13.4,613,251,362
2011,5951829,-4.8,20.9,-12.2,7.3,-8.5,14.1,540,206,334
2011,5951830,-4,20.3,-11.4,6.8,-7.7,13.5,497,183,314
2011,5951833,-4.4,20.6,-12.3,6.6,-8.3,13.6,491,189,302
2011,5951840,-5.5,21.3,-13.6,7.7,-9.6,14.5,571,240,331
2011,5951844,-4.4,21,-13,6.9,-8.7,14,527,212,315
2011,5951845,-4.9,20.1,-12,6.9,-8.5,13.5,615,250,365
2011,5951846,-5,20.3,-12.3,7,-8.6,13.7,584,231,353
2011,5951847,-4.3,20.7,-12.4,7.2,-8.4,13.9,502,201,301
2011,5951848,-5.4,21.5,-13.2,7.3,-9.3,14.4,560,219,341
2011,5951849,-5.1,21.9,-13.7,8,-9.4,14.9,545,218,327
2011,5953007,-3.3,23.7,-10.5,8.8,-6.9,16.2,580,198,382
2011,5953012,-2.5,22.9,-10.4,8.1,-6.4,15.5,662,188,474
2011,5953019,-3.2,23.1,-10.7,8.4,-6.9,15.8,650,219,431
2011,5953023,-3.3,23.1,-11.5,9,-7.4,16.1,642,208,434
2011,5953033,-6.2,22,-14,8,-10.1,15,714,323,391
2011,5953038,-4.6,22,-12.4,8.6,-8.5,15.3,660,259,401
2011,5953042,-4.8,21.3,-11.7,8.5,-8.3,14.9,603,228,375
2011,5953044,-4,22.2,-11.7,8.1,-7.9,15.1,746,287,459
2011,5953046,-4.9,19.6,-11.9,6.8,-8.4,13.2,757,313,444
2011,5953048,-4.1,19.7,-11.7,7.3,-7.9,13.5,1292,573,719
2011,5953050,-5.8,21.5,-14,7.8,-9.9,14.7,791,383,408
2011,5953801,-3.4,22.9,-11.5,8.9,-7.5,15.9,693,235,458
2011,5953802,-6.1,20.7,-13.9,7.8,-10,14.3,722,354,368
2011,5955003,-5.6,17.4,-13.3,6.6,-9.4,12,852,413,439
2011,5955005,-7.3,22.3,-18.1,8.9,-12.7,15.6,482,146,336
2011,5955010,-6,20.4,-14.4,8.4,-10.2,14.4,646,261,385
2011,5955014,-7.2,22.1,-18.1,8.8,-12.7,15.5,491,150,341
2011,5955021,-4.3,20.2,-14.6,7.7,-9.5,14,649,250,399
2011,5955023,-5.7,22.5,-15.1,8.5,-10.4,15.5,564,212,352
2011,5955025,-6.5,21.8,-15.6,8.6,-11,15.2,522,181,341
2011,5955030,-9.5,23.3,-18.6,9.7,-14,16.5,426,121,305
2011,5955034,-8.8,21.7,-17.9,9.2,-13.4,15.4,453,137,316
2011,5955040,-7.2,18.6,-16.3,6.2,-11.8,12.4,655,240,415
2011,5955042,-8.9,21.7,-18,9.3,-13.4,15.5,454,136,318
2011,5955801,-5.7,21.6,-15.6,8.4,-10.7,15,532,188,344
2011,5955802,-5.6,21.3,-14.7,8.4,-10.2,14.9,585,232,353
2011,5955803,-9.6,22,-18.7,8.9,-14.2,15.4,439,120,319
2011,5955804,-9.2,22,-18.4,9.3,-13.8,15.6,432,118,314
2011,5955807,-10.6,21.1,-19.6,6.7,-15.1,13.9,463,201,262
2011,5955808,-7.9,22.2,-17.1,8.5,-12.5,15.4,459,133,326
2011,5955812,-9.5,20.7,-18.4,7.5,-14,14.1,454,183,271
2011,5957022,-7.5,16.3,-15.9,5.3,-11.7,10.8,684,336,348
2011,5957802,-9.9,19,-17.7,7.5,-13.8,13.2,515,281,234
2011,5957803,-10,18.9,-17.9,7.3,-14,13.1,519,280,239
2011,5957804,-11.5,20.8,-20.6,7.5,-16,14.2,425,207,218
2011,5957813,-15.5,22.2,-24.1,8.6,-19.8,15.4,487,202,285
2011,5957814,-15.4,22.2,-24.1,8.6,-19.7,15.4,487,202,285
2011,5959007,-16.5,23.1,-23.6,10.5,-20,16.8,490,161,329
