census_year,census_division_id,quality_qlfd_population_ind,pop_total,pop_4under,pop_5_9,pop_10_14,pop_15,pop_16,pop_17,pop_18,pop_19,pop_20_24,pop_25_29,pop_30_34,pop_35_39,pop_40_44,pop_45_49,pop_50_54,pop_55_59,pop_60_64,pop_65_69,pop_70_74,pop_75_79,pop_80_84,pop_85plus,pop_median_age,hshld_n,quality_qlfd_nhs_ind,global_non_response_rate_nhs,hshldincome_median,hshldincome_5kunder,hshldincome_5k_10k,hshldincome_10k_15k,hshldincome_15k_20k,hshldincome_20k_30k,hshldincome_30k_40k,hshldincome_40k_50k,hshldincome_50k_60k,hshldincome_60k_80k,hshldincome_80k_100k,hshldincome_100k_125k,hshldincome_125k_150k,hshldincome_150kplus,wrkfrc_ed_u12,wrkfrc_ed_12,wrkfrc_ed_asscdeg,wrkfrc_ed_collegegrad_gt16yrs,wrkfrc_ed_collegegrad_16yrs,industry_agriculture,industry_mining,industry_utilities,industry_construction,industry_manufacturing,industry_wholesale,industry_retail,industry_transport,industry_info_cultural,industry_finance_insurance,industry_realestate,industry_professional,industry_management,industry_admin_waste,industry_education,industry_health,industry_arts_rec,industry_accomm_food,industry_other,industry_public_admin,occupation_management,occupation_business,occupation_science,occupation_health,occupation_education_law,occupation_art_culture_rec,occupation_sales_service,occupation_trades,occupation_resources_ag,occupation_manufacturing,commute_median,laborforce_participatn_male,laborforce_participatn_female,laborforce_participatn_total
2011,5933,N,128475,6280,6340,7035,1615,1585,1660,1605,1720,8225,7620,6820,7105,8330,9950,11090,10310,9365,7035,5485,4120,2820,2370,44,53385,N,30.4,59385,1400,860,1820,2845,4895,6155,4630,4370,8005,5635,5350,3385,4035,8580,20470,14705,4195,8180,2970,2460,275,5385,3600,2165,8190,3890,885,1510,1165,3185,65,2330,4860,8135,1810,5555,2670,4700,7105,8845,3115,4620,7800,1320,15460,12490,3135,1915,15.2,66.5,60.4,63.4
2011,5935,N,179840,8305,8520,9525,2150,2200,2205,2200,2255,11670,11090,9965,10170,11590,13755,14385,13100,12300,9515,8175,6710,5250,4800,44.2,74945,N,27.8,59456,1780,1180,2145,4080,7155,7980,7275,6170,11155,8340,7150,4240,6295,8015,25370,19555,6700,11665,1885,805,575,10000,5460,3710,12770,3375,2225,3325,2465,6510,45,4465,5825,12040,2465,7145,5085,4385,10730,14860,5635,7200,9160,2595,24280,14690,2795,2620,15.6,68.5,60.3,64.2
2011,5937,N,81235,3750,3925,4405,1025,1020,1085,1065,990,4125,3795,4015,4115,4795,6260,6985,6550,6260,5035,4085,3200,2525,2230,47.2,33760,N,28.8,53647,785,565,1090,2235,3745,3855,3350,2830,5025,3840,2620,1740,2080,5280,12170,8330,2175,4450,2440,425,410,3640,3285,1265,5820,1495,595,990,685,2040,15,1610,2300,4520,1390,2770,1945,1680,4340,5285,1865,2570,4320,825,9670,6880,1920,1660,15.3,64.7,55.2,59.7
2011,5939,N,50510,2275,2280,2540,600,645,630,580,550,2240,2435,2570,2585,2990,3880,4625,4300,4260,3335,2575,2015,1395,1200,48.1,21735,N,35.7,51523,590,295,855,1365,2565,2350,2565,1930,3285,2140,1895,940,960,3380,7995,5825,1355,2635,1500,470,185,2755,1545,445,2625,1610,355,590,565,1100,25,770,1460,2630,1060,2230,1195,1210,2845,2965,1060,1435,2390,590,5785,5100,1350,790,10.8,62.7,54.6,58.6
2011,5941,N,62390,3220,3250,3765,815,870,835,830,760,3145,2960,3140,3430,4055,5005,5555,5520,5115,3645,2560,1835,1185,885,45.1,26165,N,28.1,55027,780,545,1160,1625,2800,2895,2260,2265,3705,2950,2565,1340,1275,6855,10295,7015,1365,2430,3115,1175,110,2390,4100,745,3485,1585,405,625,415,890,20,965,1980,2845,535,2350,1405,2010,3050,3750,1295,1495,3100,435,6635,6875,2130,2400,15.1,66.7,57.1,61.9
2011,5943,N,11505,735,710,720,155,150,155,150,125,625,630,665,665,710,1010,1060,1055,850,600,335,200,135,65,41.8,4885,N,33.7,54845,185,110,140,380,545,465,460,390,615,460,625,295,215,1425,1775,1405,195,520,1135,45,35,285,625,135,590,355,55,85,85,150,0,190,405,570,85,355,350,570,645,715,420,230,740,65,1025,1065,780,415,10.2,70.6,64.2,67.5
2011,5945,N,3205,215,230,180,45,40,25,60,45,180,200,175,200,170,270,270,270,210,150,100,85,45,30,40,1215,N,35.5,40990,90,75,55,90,140,135,130,90,135,80,110,45,40,530,430,305,115,145,85,0,20,85,45,0,130,55,10,15,0,50,0,35,215,210,35,95,40,265,160,180,70,105,255,50,275,210,70,25,10.3,57.9,57.5,57.7
2011,5947,N,18785,1140,1190,1260,250,290,265,265,270,1165,970,1075,1265,1280,1495,1665,1510,1215,870,530,335,270,210,39.9,7550,N,34.7,49462,325,270,255,570,775,885,720,505,920,860,625,365,475,2365,2720,1830,490,1225,780,15,55,585,425,125,1120,1195,165,325,80,185,0,280,720,880,220,630,265,1105,1080,1145,460,410,1165,185,2055,1680,605,360,7.7,64.7,60.9,62.8
2011,5949,N,37360,2295,2370,2545,560,605,580,515,545,2220,1955,2000,2310,2630,3040,3195,2865,2455,1740,1195,850,530,360,40.3,14755,N,26.5,54871,555,375,645,910,1495,1480,1300,1245,1830,1510,1350,935,1125,4065,5495,3855,960,1820,865,420,95,1275,1755,380,1955,965,285,275,230,625,25,545,1740,2105,300,1285,765,1960,1470,2175,960,1005,2805,355,3925,3415,845,915,10.5,64.4,59.9,62.2
2011,5951,N,39210,2535,2650,2940,620,615,625,655,500,2180,2030,2105,2475,2595,3120,3430,2975,2340,1720,1250,845,565,445,39.3,15190,N,30.4,62303,385,315,440,975,1660,1220,1190,1120,2335,1845,1665,960,1080,4040,6645,3965,840,1655,2740,945,85,1510,2945,400,1920,1000,155,310,255,630,35,455,1630,1605,225,1210,730,1645,2065,2410,1130,935,2260,250,3585,4475,1580,1730,10.9,73.7,61.5,67.8
2011,5953,N,91880,5450,5165,5630,1295,1315,1320,1280,1360,6190,5920,5665,6000,6570,7490,7720,7055,5680,3980,2705,1925,1225,940,39.5,37300,N,25,63854,1060,650,1240,2065,3210,3180,3115,2890,5695,4700,3820,2475,3200,7390,15145,9950,2750,5400,2505,725,315,4015,4385,1850,5925,3425,870,1415,725,2240,15,1780,3825,5765,775,3525,2670,3510,4730,7430,2420,3000,5970,825,11550,10575,1665,2075,15.2,73.1,65.2,69.2
2011,5955,N,60085,4595,3925,4095,865,855,865,870,885,4435,4905,4310,4005,4090,4575,4590,3690,2820,1930,1445,1080,700,550,34.3,23205,N,26.3,76982,700,430,445,1010,1655,1695,1525,1680,2775,3105,2850,2045,3290,6285,9155,7010,965,2445,1980,4590,425,3835,1485,1080,3885,2025,300,595,750,1865,15,820,1980,2455,505,2080,2005,1815,3855,5065,1735,1440,2865,465,6770,8725,2010,1550,10.7,81.2,68,74.8
2011,5957,N,625,30,25,30,10,10,0,5,0,35,30,35,45,30,55,65,75,60,45,20,25,5,10,49.3,315,N,46.3,42235,20,10,10,35,35,40,35,30,20,30,25,0,25,75,100,80,0,25,10,65,0,35,0,0,0,15,0,0,0,15,0,15,10,30,0,20,10,95,25,65,20,0,45,15,50,70,50,15,10.2,75.9,60.9,70.2
2011,5959,N,5575,450,365,370,95,90,105,75,60,420,465,455,430,460,440,495,360,215,105,55,45,25,10,33.1,2185,N,36.7,82605,55,15,10,90,110,185,155,135,310,270,265,205,380,655,1055,700,75,190,20,455,70,430,60,70,350,230,75,60,175,60,0,160,160,170,60,465,155,250,510,460,80,60,345,10,635,1045,135,185,10.1,84.5,73.8,79.7
