Name,First Nations/Band Name,Type,Nation,Population,Address,City,Province,Postal Code,Latitude,Longitude
Tsal'alh,Seton Lake,First Nation or Band,St'ÌÎÌt'imc,675,SITE 3 BOX 76,Shalalth,BC,V0N 3C0,50.732566,-122.229248
Tsartlip,,First Nation or Band,Coast Salish,978,"PO BOX 70, 800 Stellys Cross RD",Brentwood Bay,BC,V8M 1R3,48.585022,-123.457275
Tsawout First Nation,,First Nation or Band,Coast Salish,872,PO BOX 121,Saanichton,BC,V8M 2C3,48.588989,-123.38678
Tsawwassen First Nation,,First Nation or Band,Coast Salish,352,1926 Tsawwassen DR,Delta,BC,V4M 4G2,49.041921,-123.100158
Tsay Keh Dene,Tsay Keh Dene,First Nation or Band,Sekani,472,1877 Queensway ST,Prince George,BC,V2L 1L9,56.784534,-124.782637
Tseshaht,,First Nation or Band,Nuu-chah-nulth,1132,5091 TSUMA-AS DR,Port Alberni,BC,V9Y 8X9,49.265808,-124.847778
Tseycum,,First Nation or Band,Coast Salish,183,1210 Totem LN,Sidney,BC,V8L 5S4,48.665833,-123.450867
Tsi Del Del,Alexis Creek,First Nation or Band,Tsilhqot'in,677,PO BOX 69,Chilanko Forks,BC,V0L 1H0,52.138428,-123.959595
Tsleil-Waututh Nation,Burrard Band,First Nation or Band,Coast Salish,566,3075 Takaya DR,North Vancouver,BC,V7H 3A8,49.311299,-122.989069
Tzeachten,,First Nation or Band,Sto:lo,499,45855 Promontory RD,Chilliwack,BC,V2R 0H3,49.111327,-121.956911
Uchucklesaht,,First Nation or Band,Nuu-chah-nulth,212,PO BOX 1118,Port Alberni,BC,V9Y 7L9,49.023804,-125.040405
Ucluelet First Nation,YuÌ_ÌÒåÌ¢uÌ_ÌÒiåÌ¢Ì_ÌÒatåàÌ_å«,First Nation or Band,Nuu-chah-nulth,646,PO BOX 699,Ucluelet,BC,V0R 3A0,48.939026,-125.526001
Ulkatcho,,First Nation or Band,Dakelh (Carrier),1020,PO BOX 3430,Anahim Lake,BC,V0L 1C0,52.475403,-125.300598
Union Bar,,First Nation or Band,Sto:lo,119,PO BOX 788,Hope,BC,V0X 1L0,49.443056,-121.433056
Upper Nicola,,First Nation or Band,Syilx (Okanagan),958,PO BOX 3700,Merritt,BC,V1K 1B8,50.143433,-120.282898
Upper Similkameen,,First Nation or Band,Syilx (Okanagan),88,PO BOX 220,Hedley,BC,V0X 1K0,49.355042,-120.078308
We Wai Kai Nation,Cape Mudge,First Nation or Band,Kwakwaka'wakw,1091,690 Headstart CRES,Campbell River,BC,V9H 1P9,50.018056,-125.293056
West Moberly First Nation,,First Nation or Band,Dunne-zaa (Beaver) & Cree,278,PO BOX 90,Moberly Lake,BC,V0C 1X0,55.806111,-121.886111
Westbank First Nation,,First Nation or Band,Syilx (Okanagan),825,301-515 HWY 97 SOUTH,Kelowna,BC,V1Z 3J2,49.836111,-119.608056
Wet'suwet'en First Nation,Browman Lake,First Nation or Band,Wet'suwet'en,240, P.O. Box 760 ,Burns Lake,BC,V0J 1E0,54.331421,-125.893494
Whispering Pines/Clinton,Pellt'iq't,First Nation or Band,Secwepemc,153,615 Whispering Pines DR,Kamloops,BC,V2B 8S4,50.986816,-120.247864
Williams Lake,Sugar Cane / T'exelc,First Nation or Band,Secwepemc,761,2672 Indian DR,Williams Lake,BC,V2G 5K9,52.106201,-121.993896
Wuikinuxv First Nation,Oweekeno/Wuikinuxv Nation,First Nation or Band,Oweekeno,289,PO BOX 3500 Oweekeno Village Rivers Inlet,Port Hardy,BC,V0N 2P0,51.681944,-127.213889
Xa'xtsa,Douglas,First Nation or Band,St'ÌÎÌt'imc,292,PO BOX 606,Mount Currie,BC,V0N 2K0,49.755474,-122.164833
XatåÌåÌàll First Nation,Soda Creek,First Nation or Band,Secwepemc,420,3405 Mountain House RD,Williams Lake,BC,V2G 5L5,52.262207,-122.093384
Xaxli'p,Fountain,First Nation or Band,St'ÌÎÌt'imc,1021,PO BOX 1330,Lillooet,BC,V0K 1V0,50.736111,-121.863889
Xeni Gwet'in,Nemiah,First Nation or Band,Tsilhqot'in,428,General Delivery,Nemiah Valley,BC,V0L 1X0,51.420227,-124.098694
Yakweakwioose,,First Nation or Band,Sto:lo,67,"RR 2, 7176 Vancouver River RD",Sardis,BC,V2R 1B1,49.133056,-121.938056
Yale First Nation,,First Nation or Band,Yale,163,PO BOX 1869,Hope,BC,V0X 1L0,49.562305,-121.422703
Yekooche First Nation,Yekooche Band,First Nation or Band,Dakelh (Carrier),227,1890 - 3RD AVE,Prince George,BC,V2M 1G4,54.600403,-125.066101
Yunesit'in Government,Stone Indian Band,First Nation or Band,Tsilhqot'in,446,PO BOX 158,Hanceville,BC,V0L 1K0,51.93103,-123.145081
