CENSUS_SUBDIVISION_ID,ELEVATION_POINT,ELEVATION_MEAN,ELEVATION_MAX,ELEVATION_MIN
5931017,2211.0,1493.40314233,2936.0,192.0
5931020,680.0,1122.93385486,2446.0,404.0
5931021,362.0,1215.140688,2670.0,0.0
5931026,420.0,350.987773092,936.0,193.0
5931032,902.0,1761.96816592,2935.0,389.0
5931034,883.0,1546.9945173,2919.0,184.0
5931801,20.0,72.2522638641,533.0,13.0
5931802,14.0,12.1130434783,17.0,7.0
5931806,21.0,18.862745098,22.0,11.0
5931807,10.0,11.7198067633,27.0,5.0
5931808,23.0,24.890052356,35.0,17.0
5931809,11.0,11.4615384615,13.0,11.0
5931812,205.0,204.848589921,214.0,194.0
5931813,834.0,503.989190731,1236.0,203.0
5931814,216.0,249.114485166,400.0,193.0
5931815,931.0,932.240857209,1138.0,879.0
5931816,525.0,484.840362812,705.0,355.0
5931817,526.0,468.965568544,840.0,226.0
5931818,393.0,353.89068564,524.0,205.0
5931819,421.0,412.876404494,599.0,291.0
5931820,895.0,894.296842105,981.0,866.0
5931821,293.0,500.140859309,1054.0,203.0
5931822,742.0,751.04519774,822.0,732.0
5931823,288.0,263.875388333,324.0,193.0
5931824,266.0,265.630434783,291.0,244.0
5931826,268.0,286.687086093,323.0,256.0
5931827,288.0,377.14637159,962.0,181.0
5931828,517.0,430.19636799,904.0,193.0
5931829,800.0,717.946169907,1190.0,237.0
5931831,278.0,389.892372078,857.0,240.0
5931832,385.0,353.630527817,703.0,228.0
5931833,260.0,263.718676123,305.0,246.0
5931842,407.0,414.481057898,494.0,367.0
5931843,393.0,356.266010911,1199.0,200.0
5931844,279.0,294.171293562,422.0,256.0
5933006,603.0,669.949684121,1077.0,586.0
5933008,876.0,1255.31998812,2034.0,528.0
5933012,823.0,1253.52511852,2265.0,459.0
5933015,291.0,335.118006459,786.0,142.0
5933019,468.0,582.811705505,1259.0,278.0
5933024,449.0,553.196584324,849.0,421.0
5933028,880.0,951.307911392,1115.0,847.0
5933032,1133.0,1236.63499366,2425.0,256.0
5933035,1288.0,1399.24861332,1907.0,254.0
5933037,1075.0,1337.62339078,2963.0,126.0
5933039,893.0,1183.67837476,1961.0,333.0
5933042,352.0,608.927798211,1140.0,334.0
5933044,1450.0,1062.88839229,2142.0,292.0
5933045,1253.0,1609.01254129,2153.0,1145.0
5933054,358.0,380.478315967,652.0,344.0
5933060,982.0,1059.01796384,1746.0,339.0
5933067,451.0,505.367028544,917.0,401.0
5933068,757.0,1449.51105959,2925.0,380.0
5933070,1166.0,1542.75824079,3242.0,442.0
5933072,1269.0,1215.07232714,2634.0,367.0
5933074,382.0,407.263436871,602.0,368.0
5933801,717.0,768.396167944,1047.0,651.0
5933802,1047.0,1021.36653723,1304.0,748.0
5933803,879.0,891.3307633,1270.0,650.0
5933805,653.0,658.592023066,702.0,630.0
5933806,631.0,733.116181888,904.0,625.0
5933807,1044.0,820.487984763,1287.0,579.0
5933808,555.0,516.193810689,736.0,448.0
5933809,785.0,781.026220516,824.0,723.0
