census_subdivision_id,census_year,clab_id,band_number,first_nation_name_primary,first_nation_name_secondary,nation,data_notes
5943836,2011,,632,Tlatlasikwala,,,
,,7113,637,Tlowitsis Nation,,,
5901801,2011,,603,Tobacco Plains Indian Band,,,
5941850,2011,,718,Toosey,Tl'esqox,,
5923810,2011,,666,Toquaht,,,
5931829,2011,,594,Ts'kw'aylaxw First Nation,Pavilion,,
5917804,2011,,653,Tsartlip,,,
5917803,2011,,654,Tsawout First Nation,,,
5915802,2011,,577,Tsawwassen First Nation,,,
5955812,2011,,609,Tsay Keh Dene,,,Location matched to CSD based on map on Tsay Keh Dene web site.
5923816,2011,,665,Tseshaht First Nation,,,
5917802,2011,,655,Tseycum First Nation,,,
5941839,2011,,710,Tsi Del Del,Alexis Creek,,
5915806,2011,,549,Tsleil-Waututh Nation,Burrard Band,,
5909830,2011,,575,Tzeachten,,,
5923805,2011,,667,Uchucklesaht,,,
5923807,2011,,668,Ucluelet First Nation,,,
5941840,2011,,722,Ulkatcho,,,
5909808,2011,,588,Union Bar,,,
5933802,2011,,697,Upper Nicola,,,
5907807,2011,,599,Upper Similkameen,,,
5955802,2011,,545,West Moberly First Nations,,,
5935802,2011,,601,Westbank First Nation,,,
5951820,2011,,725,Wet'suwet'en First Nation,,,
5933877,2011,,702,Whispering Pines/Clinton,,,
5941812,2011,,719,Williams Lake,,,
5909842,2011,,561,Xa’xtsa,Douglas First Nation,,
5941805,2011,,716,Xat'sull,Soda Creek Indian Band,,
5931816,2011,,592,Xaxli'p,Fountain,,
5941829,2011,,714,Xeni Gwet'in First Nations Government,Nemaiah Band,,
5931813,2011,,590,Xwisten,Bridge River,,
5909831,2011,,576,Yakweakwioose,,,
5909818,2011,,589,Yale First Nation,,,
5951801,2011,,728,Yekooche First Nation,,,
5941841,2011,,717,Yunesit'in Government,Stone Indian Band,,
