census_year,noc_2011_code,noc_2011_description,b.c._median,b.c._low_10thpctl,b.c._high_90thpctl,b.c._source,vancouver_island_coast_median,vic_low_10thpctl,vic_high_90thpctl,vic_year,vic_source,northeast_median,ne_low_10thpctl,ne_high_90thpctl,ne_year,ne_source,north_coast_nechako_median,ncn_low_10thpctl,ncn_high_90thpctl,ncn_year,ncn_source,thompson-okanagan_median,tok_low_10thpctl,tok_high_90thpctl,tok_year,tok_source,cariboo_median,car_low_10thpctl,car_high_90thpctl,car_year,car_source,mainland_southwest_median,msw_low_10thpctl,msw_high_90thpctl,msw_year,msw_source,kootenays_median,kot_low_10thpctl,kot_high_90thpctl,kot_year,kot_source
2011,423,"Managers in social, community and correctional services",29.33,19.23,48.08,LFS 2011-12 PR NOC4,29.33,19.23,48.08,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,29.33,19.23,48.08,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,28.85,19.51,48.08,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,29.33,19.23,48.08,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,411,Government managers - health and social policy development and program administration,47.12,27.62,58.14,LFS 2011-12 PR NOC3,45.71,25.38,57.69,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,47.12,27.62,58.14,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,47.12,27.62,58.14,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,412,"Government managers - economic analysis, policy development and program administration",47.12,27.62,58.14,LFS 2011-12 PR NOC3,47.12,27.62,58.14,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,47.12,27.62,58.14,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,47.12,27.62,58.14,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,47.12,27.62,58.14,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,413,Government managers - education policy development and program administration,34.53,17.1,48.63,Census 2006 PR NOC4,34.56,20.78,48.74,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,
2011,414,Other managers in public administration,47.12,27.62,58.14,LFS 2011-12 PR NOC3,47.12,27.62,58.14,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,47.12,27.62,58.14,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,511,"Library, archive, museum and art gallery managers",25.77,10.25,37.11,Census 2006 PR NOC4,25.56,10.25,41.11,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,26.19,11.25,36.14,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,512,"Managers - publishing, motion pictures, broadcasting and performing arts",28.85,14.42,51.92,LFS 2011-12 PR NOC3,28.85,14.42,51.92,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,28.85,14.42,51.92,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,513,"Recreation, sports and fitness program and service directors",28.85,14.42,51.92,LFS 2011-12 PR NOC3,28.85,14.42,51.92,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,16.89,10.25,42.27,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,19.42,13,30.95,Reference Period:л_2011-2012,Source: Employment Insurance Data,26.98,12.39,38.79,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,28.85,14.42,51.92,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,23.96,14.79,32.27,Reference Period:л_2006,Source: 2006 Census - Statistics Canada
2011,124,"Advertising, marketing and public relations managers",32.5,18.46,57.14,LFS 2011-12 PR NOC4,,,,Data limitations - refer to provincial wage,,35.44,13.74,47.7,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,32.5,18.46,57.14,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,32.5,18.46,57.14,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,32.46,17.5,58.43,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,601,Corporate sales managers,32.5,18.46,57.14,LFS 2011-12 PR NOC4,,,,Data limitations - refer to provincial wage,,35.44,13.74,47.7,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,32.5,18.46,57.14,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,32.5,18.46,57.14,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,32.46,17.5,58.43,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
