DRAFT_COLUMN_NAME,DRAFT_COLUMN_TYPE,SECTION,CATEGORY,IECD_ATTRIBUTE,EXACT_MATCH,SOURCE_TOPIC,SOURCE_COLUMN,SOURCE_CHARACTERISTICS,SOURCE_TABLE,NOTES,SOURCE_FILE_URI
industry_other,int,7.1,Labor Force by Sector,81 Other services (except public administration),N,Industry,total,81 Other services (except public administration),nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
industry_public_admin,int,7.1,Labor Force by Sector,91 Public administration,N,Industry,total,91 Public administration,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
occupation_management,int,7.2,Labor Force by Occupation,0 Management occupations,N,Occupation,total,0 Management occupations,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
occupation_business,int,7.2,Labor Force by Occupation,"1 Business, finance and administration occupations",N,Occupation,total,"1 Business, finance and administration occupations",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
occupation_science,int,7.2,Labor Force by Occupation,2 Natural and applied sciences and related occupations,N,Occupation,total,2 Natural and applied sciences and related occupations,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
occupation_health,int,7.2,Labor Force by Occupation,3 Health occupations,N,Occupation,total,3 Health occupations,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
occupation_education_law,int,7.2,Labor Force by Occupation,"4 Occupations in education, law and social, community and government services",N,Occupation,total,"4 Occupations in education, law and social, community and government services",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
occupation_art_culture_rec,int,7.2,Labor Force by Occupation,"5 Occupations in art, culture, recreation and sport",N,Occupation,total,"5 Occupations in art, culture, recreation and sport",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
occupation_sales_service,int,7.2,Labor Force by Occupation,6 Sales and service occupations,N,Occupation,total,6 Sales and service occupations,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
occupation_trades,int,7.2,Labor Force by Occupation,"7 Trades, transport and equipment operators and related occupations",N,Occupation,total,"7 Trades, transport and equipment operators and related occupations",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
occupation_resources_ag,int,7.2,Labor Force by Occupation,"8 Natural resources, agriculture and related production occupations",N,Occupation,total,"8 Natural resources, agriculture and related production occupations",nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
occupation_manufacturing,int,7.2,Labor Force by Occupation,9 Occupations in manufacturing and utilities,N,Occupation,total,9 Occupations in manufacturing and utilities,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
commute_median,float,7.3,Commute Times,Median,Y,Median commuting duration,total,Median commuting duration,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
laborforce_participatn_male,float,7.4,Labor Participation Rate,Male,Y,Labour force status,male,Participation rate,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
laborforce_participatn_female,float,7.4,Labor Participation Rate,Female,Y,Labour force status,female,Participation rate,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
laborforce_participatn_total,float,7.4,Labor Participation Rate,Total,Y,Labour force status,total,Participation rate,nhs,,http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/details/download-telecharger/comprehensive/comp-csv-tab-nhs-enm.cfm?Lang=E
